date_range,avg_price,avg_price_conc,volume
12.03.2018 - 18.03.2018,"103197,8","125185,2",197
19.03.2018 - 25.03.2018,"107808,3","111489,7",155
26.03.2018 - 01.04.2018,"92518,58","98027,54",124
02.04.2018 - 08.04.2018,"80068,75","98274,79",131
09.04.2018 - 15.04.2018,"97560,45",128452,109
16.04.2018 - 22.04.2018,"93533,1","97903,89",83
23.04.2018 - 29.04.2018,"105465,4","111031,7",70
30.04.2018 - 06.05.2018,"103581,3","109069,9",56
07.05.2018 - 13.05.2018,"82913,93","106719,1",65
14.05.2018 - 20.05.2018,"114749,3","93182,47",47
21.05.2018 - 27.05.2018,"69152,92","89318,94",68
28.05.2018 - 03.06.2018,"76651,25","101019,4",83
04.06.2018 - 10.06.2018,"85033,17","89029,84",63
11.06.2018 - 17.06.2018,"99000,1","95122,07",59
18.06.2018 - 24.06.2018,"107350,8","105820,8",58
25.06.2018 - 01.07.2018,"95263,96","98585,11",64
02.07.2018 - 08.07.2018,"110204,3","100714,9",70
09.07.2018 - 15.07.2018,"110548,9","104181,4",75
16.07.2018 - 22.07.2018,"116078,3",89461,68
23.07.2018 - 29.07.2018,"128062,3","104517,7",81
30.07.2018 - 05.08.2018,"130148,6","102972,8",86
06.08.2018 - 12.08.2018,"96543,92","101899,9",116
13.08.2018 - 19.08.2018,"87305,38","90809,69",124
20.08.2018 - 26.08.2018,"99806,33",104769,123
27.08.2018 - 02.09.2018,"116965,9","101440,8",95
03.09.2018 - 09.09.2018,"78996,63",87243,139
10.09.2018 - 16.09.2018,"87086,05","95416,29",147
17.09.2018 - 23.09.2018,"113281,9","104672,6",147
24.09.2018 - 30.09.2018,"103519,1","102271,3",166
01.10.2018 - 07.10.2018,"135438,3","103567,9",146
08.10.2018 - 14.10.2018,"106349,8","111031,3",183
15.10.2018 - 21.10.2018,"110644,8","102882,1",158
22.10.2018 - 28.10.2018,"94664,13","121788,3",221
29.10.2018 - 04.11.2018,"90980,85","105228,1",185
05.11.2018 - 11.11.2018,102545,114407,172
12.11.2018 - 18.11.2018,"121821,6","129676,5",165
19.11.2018 - 25.11.2018,"145647,3","115160,8",99
26.11.2018 - 02.12.2018,"143754,8","108358,1",91
03.12.2018 - 09.12.2018,"168935,1","135743,5",98
10.12.2018 - 16.12.2018,"125785,3","121518,2",111
17.12.2018 - 23.12.2018,"103407,4","95927,21",96
24.12.2018 - 30.12.2018,"99600,5","111304,5",103
31.12.2018 - 06.01.2019,"106651,7","96013,79",
07.01.2019 - 13.01.2019,"101673,5","102984,4",
14.01.2019 - 20.01.2019,"123099,7","103358,1",
21.01.2019 - 27.01.2019,"119102,7","125948,5",
28.01.2019 - 03.02.2019,"101896,1","91143,04",
04.02.2019 - 10.02.2019,"124413,5","107045,3", 
11.02.2019 - 17.02.2019,"125538,7","110561,7", 
18.02.2019 - 24.02.2019,"111693,3","110301,8", 
25.02.2019 - 03.03.2019,"112086,9","95005,36", 
04.03.2019 - 10.03.2019,"85283,17",103556, 
