period,absolute,relative
01.07.2017 - 31.07.2017,23181,"0,000003787740"
01.08.2017 - 31.08.2017,28301,"0,000004474175"
01.09.2017 - 30.09.2017,36927,"0,000005436525"
01.10.2017 - 31.10.2017,49118,"0,000006256687"
01.11.2017 - 30.11.2017,45689,"0,000005896200"
01.12.2017 - 31.12.2017,35830,"0,000004622781"
01.01.2018 - 31.01.2018,53135,"0,000006608099"
01.02.2018 - 28.02.2018,44935,"0,000005600048"
01.03.2018 - 31.03.2018,43602,"0,000005023469"
01.04.2018 - 30.04.2018,24458,"0,000003134045"
01.05.2018 - 31.05.2018,16566,"0,000002140001"
01.06.2018 - 30.06.2018,17084,"0,000002391400"
01.07.2018 - 31.07.2018,25866,"0,000003596136"
01.08.2018 - 31.08.2018,33399,"0,000004612041"
01.09.2018 - 30.09.2018,41211,"0,000005077542"
01.10.2018 - 31.10.2018,51867,"0,000005499264"
01.11.2018 - 30.11.2018,40909,"0,000004696096"
01.12.2018 - 31.12.2018,32409,"0,000003697600"
01.01.2019 - 31.01.2019,42146,"0,000004674331"
01.02.2019 - 28.02.2019,36013,"0,000004199027"
01.03.2019 - 31.03.2019,33290,"0,000003710761"
01.04.2019 - 30.04.2019,21392,"0,000002538009"
01.05.2019 - 31.05.2019,12191,"0,000001510604"
01.06.2019 - 30.06.2019,13879,"0,000001877335"
